__run_id,__done,sampling,llm,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_0_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,4,147.275,0,9631181.505,3814593.706,0,67221336064.0,8589930496.0,1758490807.154,0.0,8190.487
run_1_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,61,134.264,0,14068831.376,7696591.854,0,67221336064.0,8589930496.0,1742557445.706,0.0,6683.65
run_2_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,79,178.085,0,26397889.1,16417647.991,0,67221336064.0,8589930496.0,1737460051.803,0.0,9859.117
run_3_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,63,78.239,0,14589614.597,9609814.817,0,67221336064.0,8589930496.0,1738196163.42,0.0,4361.894
run_4_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,90,162.282,0,35645011.389,24191385.437,0,67221336064.0,8589930496.0,1739088773.825,0.0,8212.346
run_5_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,53,170.881,0,45466285.359,31861736.808,0,67221336064.0,8589930496.0,1734580463.252,0.0,9511.714
run_6_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,66,183.289,0,58410699.201,42079036.607,0,67221336064.0,8589930496.0,1744311677.49,0.0,10679.395
run_7_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,52,183.887,0,68868868.877,50687117.849,0,67221336064.0,8589930496.0,1753308863.792,0.0,10763.514
run_8_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,16,173.489,0,74089367.741,55271219.094,0,67221336064.0,8589930496.0,1826730855.991,0.0,9361.228
run_9_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,4,181.088,0,86559763.658,65195412.924,0,67221336064.0,8589930496.0,1735828115.334,0.0,10155.264
run_10_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,61,251.122,0,135659474.073,103256980.473,0,67221336064.0,8589930496.0,1737716793.839,0.0,13989.89
run_11_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,79,181.892,0,109662479.33,84153433.541,0,67221336064.0,8589930496.0,1739097920.913,0.0,10086.488
run_12_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,63,341.374,0,227774970.096,175422198.316,0,67221336064.0,8589930496.0,54350600443.803,2523518110.276,12629.558
run_13_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,90,142.866,0,102417339.994,78664955.29,0,67221336064.0,8589930496.0,1333300607.285,347843006.212,8307.241
run_14_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,53,190.094,0,145561512.258,112259181.381,0,67221336064.0,8589930496.0,1330726541.983,347443200.0,10563.985
run_15_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,66,181.287,0,148696880.645,115145653.934,0,67221336064.0,8589930496.0,1334054668.405,346752618.009,10327.982
run_16_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,52,183.889,0,160916915.999,125101299.724,0,67221336064.0,8589930496.0,1352466654.367,345083904.0,10753.802
run_17_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,16,173.48,0,160962965.659,125504430.882,0,67221336064.0,8589930496.0,1410329393.786,345083904.0,9450.858
run_0_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,4,146.07,0,142354821.713,111200601.193,0,67221336064.0,8589930496.0,1327527734.557,345083904.0,8156.898
run_1_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,61,133.667,0,135542694.036,105967769.796,0,67221336064.0,8589930496.0,1329018708.824,345083904.0,6663.154
run_2_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,79,178.088,0,188209895.151,147303488.036,0,67221336064.0,8589930496.0,1328185697.578,345083904.0,9890.045
run_3_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,63,77.039,0,84565810.591,66246138.625,0,67221336064.0,8589930496.0,1323597347.721,345083904.0,4299.655
run_4_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,90,134.465,0,151577280.179,118796592.599,0,67221336064.0,8589930496.0,1338177882.398,345083904.0,7629.095
run_5_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,53,211.103,0,247764578.177,194388682.39,0,67221336064.0,8589930496.0,1338830944.878,345083904.0,10524.523
run_6_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,66,183.291,0,225266683.915,177013560.832,0,67221336064.0,8589930496.0,1337201460.985,345083904.0,10606.878
run_7_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,52,182.891,0,234929100.523,184997997.822,0,67221336064.0,8589930496.0,1348321315.773,344969144.454,10702.09
run_8_repetition_1,DONE,200,speechless-codellama-34b_temp_0.0,16,173.488,0,4176179.587,182951688.234,0,67221336064.0,8589930496.0,1449698844.87,344821760.0,9433.126
run_9_repetition_1,DONE,200,wizardcoder-33b-1.1_temp_0.0,4,181.291,0,13638308.281,198705620.064,0,67221336064.0,8589930496.0,1384953513.163,344821760.0,10141.307
run_10_repetition_1,DONE,200,wizardcoder-33b-1.1_temp_0.0,61,251.123,0,34609711.359,288010306.448,0,67221336064.0,8589930496.0,1399308082.711,343810722.52,14012.849
run_11_repetition_1,DONE,200,wizardcoder-33b-1.1_temp_0.0,79,221.507,0,44850483.721,265764528.533,0,67221336064.0,8589930496.0,1409890036.227,343511040.0,10982.057
run_12_repetition_1,DONE,200,wizardcoder-33b-1.1_temp_0.0,63,328.962,0,88304638.869,411647993.089,0,67221336064.0,8589930496.0,53688862239.728,2578367952.097,12374.435
